cat_id;name;ranking_id
20772;U18 JIU-JITSU NO-GI FEMALE -48 KG;NONE
20773;U18 JIU-JITSU NO-GI FEMALE -52 KG;NONE
20774;U18 JIU-JITSU NO-GI FEMALE -57 KG;NONE
20775;U18 JIU-JITSU NO-GI FEMALE -63 KG;NONE
20776;U18 JIU-JITSU NO-GI FEMALE -70 KG;NONE
20769;U18 JIU-JITSU NO-GI FEMALE +70 KG;NONE
24057;U18 JIU-JITSU NO-GI MALE -48 KG;NONE
24058;U18 JIU-JITSU NO-GI MALE -52 KG;NONE
24059;U18 JIU-JITSU NO-GI MALE -56 KG;NONE
24060;U18 JIU-JITSU NO-GI MALE -62 KG;NONE
24061;U18 JIU-JITSU NO-GI MALE -69 KG;NONE
24062;U18 JIU-JITSU NO-GI MALE -77 KG;NONE
24063;U18 JIU-JITSU NO-GI MALE -85 KG;NONE
24056;U18 JIU-JITSU NO-GI MALE +85 KG;NONE
1889;U18 JU-JITSU DUO MEN;355
1890;U18 JU-JITSU DUO MIXED;356
1891;U18 JU-JITSU DUO WOMEN;354
1806;U18 JU-JITSU FIGHTING FEMALE -40 KG;357
1807;U18 JU-JITSU FIGHTING FEMALE -44 KG;358
1808;U18 JU-JITSU FIGHTING FEMALE -48 KG;359
1809;U18 JU-JITSU FIGHTING FEMALE -52 KG;339
1810;U18 JU-JITSU FIGHTING FEMALE -57 KG;340
1811;U18 JU-JITSU FIGHTING FEMALE -63 KG;360
1812;U18 JU-JITSU FIGHTING FEMALE -70 KG;341
1814;U18 JU-JITSU FIGHTING FEMALE +70 KG;361
21212;U18 JU-JITSU FIGHTING MALE -48 KG;425
21211;U18 JU-JITSU FIGHTING MALE -52 KG;426
21210;U18 JU-JITSU FIGHTING MALE -56 KG;427
21209;U18 JU-JITSU FIGHTING MALE -62 KG;428
21208;U18 JU-JITSU FIGHTING MALE -69 KG;429
21207;U18 JU-JITSU FIGHTING MALE -77 KG;430
21206;U18 JU-JITSU FIGHTING MALE -85 KG;431
21205;U18 JU-JITSU FIGHTING MALE +85 KG;436
1892;U18 JU-JITSU SHOW MEN;363
1893;U18 JU-JITSU SHOW MIXED;364
1894;U18 JU-JITSU SHOW WOMEN;362
1466;U21 JIU-JITSU FEMALE -45 KG;319
1467;U21 JIU-JITSU FEMALE -48 KG;298
1468;U21 JIU-JITSU FEMALE -52 KG;317
1469;U21 JIU-JITSU FEMALE -57 KG;305
1470;U21 JIU-JITSU FEMALE -63 KG;304
1471;U21 JIU-JITSU FEMALE -70 KG;296
1472;U21 JIU-JITSU FEMALE +70 KG;301
1459;U21 JIU-JITSU MALE -56 KG;321
1460;U21 JIU-JITSU MALE -62 KG;295
1461;U21 JIU-JITSU MALE -69 KG;309
1462;U21 JIU-JITSU MALE -77 KG;320
1463;U21 JIU-JITSU MALE -85 KG;303
1464;U21 JIU-JITSU MALE -94 KG;294
1465;U21 JIU-JITSU MALE +94 KG;318
24065;U21 JIU-JITSU NO-GI FEMALE -45 KG;NONE
24066;U21 JIU-JITSU NO-GI FEMALE -48 KG;NONE
24067;U21 JIU-JITSU NO-GI FEMALE -52 KG;NONE
24068;U21 JIU-JITSU NO-GI FEMALE -57 KG;NONE
24069;U21 JIU-JITSU NO-GI FEMALE -63 KG;NONE
24070;U21 JIU-JITSU NO-GI FEMALE -70 KG;NONE
24064;U21 JIU-JITSU NO-GI FEMALE +70 KG;NONE
24072;U21 JIU-JITSU NO-GI MALE -56 KG;NONE
24073;U21 JIU-JITSU NO-GI MALE -62 KG;NONE
24074;U21 JIU-JITSU NO-GI MALE -69 KG;NONE
24075;U21 JIU-JITSU NO-GI MALE -77 KG;NONE
24076;U21 JIU-JITSU NO-GI MALE -85 KG;NONE
24077;U21 JIU-JITSU NO-GI MALE -94 KG;NONE
24071;U21 JIU-JITSU NO-GI MALE +94 KG;NONE
1488;U21 JU-JITSU DUO MEN;322
1487;U21 JU-JITSU DUO MIXED;323
1489;U21 JU-JITSU DUO WOMEN;324
1436;U21 JU-JITSU FIGHTING FEMALE -45 KG;313
1437;U21 JU-JITSU FIGHTING FEMALE -48 KG;310
1438;U21 JU-JITSU FIGHTING FEMALE -52 KG;306
